No,Chinese,English,Author_CL,Author_EL
1,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
2,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
3,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
4,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
5,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
6,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
7,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
8,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
9,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
10,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
11,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
12,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
13,大器晚成,"A great vessel takes time to complete.",老子,Laozi
14,上善若水,"The highest goodness is like water.",老子,Laozi
15,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
16,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
17,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
18,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
19,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
20,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
21,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
22,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
23,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
24,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
25,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
26,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
27,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
28,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
29,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
30,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
31,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
32,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
33,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
34,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
35,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
36,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
37,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
38,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
39,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
40,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
41,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
42,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
