No,Chinese,Author_CL,English,Author_EL
1,三顾茅庐,成语,Earning a genius’s ear through persistence,Idiom
2,赏心悦目,成语,A feast for the eyes,Idiom
3,稍纵即逝,成语,Gone in a flash,Idiom
4,深入浅出,成语,Making the complex simple,Idiom
5,舍生取义,成语,Sacrificing oneself for principle,Idiom
6,事倍功半,成语,Twice the effort for half the reward,Idiom
7,拭目以待,成语,Watch with eager anticipation,Idiom
8,颠沛流离,成语,Living a life of relentless upheaval,Idiom
9,死不瞑目,成语,To pass on with unfinished business,Idiom
10,索然无味,成语,Bland and uninteresting,Idiom
11,谈虎色变,成语,Turn pale at the very mention,Idiom
12,叹为观止,成语,Beyond words,Idiom
13,谈笑风生,成语,Engaging in lively banter,Idiom
14,天经地义,成语,Self-evidently right,Idiom
15,天壤之别,成语,Poles apart,Idiom
16,天衣无缝,成语,Seamlessly perfect,Idiom
17,同仇敌忾,成语,Banding together against a common foe,Idiom
18,投机取巧,成语,Cutting corners,Idiom
19,脱颖而出,成语,Standing out from the pack,Idiom
20,望穿秋水,成语,Waiting with bated breath,Idiom
21,望文生义,成语,Taking words at face value,Idiom
22,惟妙惟肖,成语,Uncannily lifelike,Idiom
23,娓娓动听,成语,Compelling and engaging,Idiom
24,威武不屈,成语,Majestically unyielding,Idiom
25,危在旦夕,成语,On the brink of disaster,Idiom
26,无动于衷,成语,Completely unmoved,Idiom
27,无济于事,成语,Utterly futile,Idiom
28,无懈可击,成语,Bulletproof,Idiom
29,相濡以沫,成语,Supporting each other through thick and thin,Idiom
30,相提并论,成语,Putting things in the same basket,Idiom
31,相形见绌,成语,Pale in comparison,Idiom
32,相映成趣,成语,Complementing each other perfectly,Idiom
33,销声匿迹,成语,Vanishing without a trace,Idiom
34,星罗棋布,成语,Scattered far and wide,Idiom
35,信口雌黄,成语,Spouting off nonsense,Idiom
36,心旷神怡,成语,In a state of serene bliss,Idiom
37,心悦诚服,成语,Won over completely,Idiom
38,喜形于色,成语,Wearing one’s joy on one’s face,Idiom
39,熙熙攘攘,成语,A teeming, bustling crowd,Idiom
40,息息相关,成语,Inextricably linked,Idiom
41,循序渐进,成语,Step by step,Idiom
42,栩栩如生,成语,Vividly lifelike,Idiom
43,眼花缭乱,成语,A dizzying array,Idiom
44,言简意赅,成语,Succinct and to the point,Idiom
45,咬文嚼字,成语,Splitting hairs over words,Idiom
46,杳无音讯,成语,Not a peep heard,Idiom
47,鸦雀无声,成语,Dead silent,Idiom
48,雅俗共赏,成语,Enjoyed by all,Idiom
49,义愤填膺,成语,Burning with righteous anger,Idiom
50,异曲同工,成语,Different approaches, same effect,Idiom
51,怡然自得,成语,In blissful contentment,Idiom
52,一如既往,成语,As always,Idiom
53,抑扬顿挫,成语,With a pleasing cadence,Idiom
54,一知半解,成语,Having only a half-baked understanding,Idiom
55,有的放矢,成语,Speaking with pinpoint precision,Idiom
56,忧心忡忡,成语,Beset with worry,Idiom
57,源远流长,成语,With a long and rich history,Idiom
58,跃然纸上,成语,Leaping off the page,Idiom
59,愚公移山,成语,Where there’s a will, there’s a way,Idiom
60,雨后春笋,成语,Sprouting up everywhere,Idiom
61,瞻前顾后,成语,Overly cautious,Idiom
62,震耳欲聋,成语,Deafeningly loud,Idiom
63,枕戈待旦,成语,Ever on guard,Idiom
64,振振有词,成语,Arguing with unwavering conviction,Idiom
65,置之度外,成语,Brushing aside entirely,Idiom
66,中流砥柱,成语,The backbone of the effort,Idiom
67,众目睽睽,成语,Under everyone’s watchful eyes,Idiom
68,珠光宝气,成语,Flashily glamorous,Idiom
69,捉襟见肘,成语,Strapped for resources,Idiom
70,蛛丝马迹,成语,The faintest clue,Idiom
71,锱铢必较,成语,Sweating the small stuff,Idiom
72,孜孜不倦,成语,Working tirelessly,Idiom
73,左右逢源,成语,Winning favor on all sides,Idiom
