No,Chinese,Author_CL,English,Author_EL
1,爱屋及乌,成语,Love me, love my dog,Idiom
2,按部就班,成语,Follow the prescribed order,Idiom
3,百年树人,成语,It takes a long time to educate a person,Idiom
4,百折不挠,成语,Indomitable,Idiom
5,班门弄斧,成语,Show off one’s skill before an expert,Idiom
6,半途而废,成语,Give up halfway,Idiom
7,杯弓蛇影,成语,Be frightened by imaginary fears,Idiom
8,杯水车薪,成语,A drop in the bucket,Idiom
9,悲天悯人,成语,Feel compassion for the world and pity for the people,Idiom
10,闭门造车,成语,Work behind closed doors,Idiom
11,兵不厌诈,成语,All’s fair in war,Idiom
12,不耻下问,成语,Not ashamed to ask and learn from subordinates,Idiom
13,不可救药,成语,Beyond redemption,Idiom
14,不劳而获,成语,Reap without sowing,Idiom
15,不务正业,成语,Not attending to one’s proper duties,Idiom
16,不翼而飞,成语,Disappear without a trace,Idiom
17,不知所措,成语,At a loss; not knowing what to do,Idiom
18,不自量力,成语,Overestimate one’s ability,Idiom
19,沧海桑田,成语,Great changes over time,Idiom
20,草木皆兵,成语,Be in a state of extreme nervousness,Idiom
21,长年累月,成语,Over the years,Idiom
22,痴人说梦,成语,Talk nonsense; indulge in wishful thinking,Idiom
23,持之以恒,成语,Persevere with something,Idiom
24,出类拔萃,成语,Outstanding; stand out from the crowd,Idiom
25,出人头地,成语,Stand out among one’s peers,Idiom
26,出尔反尔,成语,Go back on one’s word,Idiom
27,吹毛求疵,成语,Nitpick,Idiom
28,唇亡齿寒,成语,If one suffers, the other is in danger,Idiom
29,粗制滥造,成语,Shoddy workmanship,Idiom
30,打草惊蛇,成语,Act rashly and alert the enemy,Idiom
31,大公无私,成语,Selfless and just,Idiom
32,大言不惭,成语,Brag shamelessly,Idiom
33,当机立断,成语,Act decisively,Idiom
34,德高望重,成语,Highly respected and virtuous,Idiom
35,得过且过,成语,Muddle through life,Idiom
36,得意忘形,成语,Get carried away by success,Idiom
37,掉以轻心,成语,Take something lightly,Idiom
38,东窗事发,成语,A secret plot exposed,Idiom
39,东山再起,成语,Make a comeback,Idiom
40,对牛弹琴,成语,Waste words on deaf ears,Idiom
41,对症下药,成语,Apply the right remedy to the problem,Idiom
42,多多益善,成语,The more, the better,Idiom
43,耳濡目染,成语,Be unconsciously influenced by what one constantly sees and hears,Idiom
44,发扬光大,成语,Carry forward and enhance,Idiom
45,废寝忘食,成语,Forget to eat and sleep,Idiom
46,分庭抗礼,成语,Act as an equal rival,Idiom
47,奉公守法,成语,Abide by the law and fulfill one’s duty,Idiom
48,敷衍塞责,成语,Perform one’s duty in a careless manner,Idiom
49,赴汤蹈火,成语,Go through fire and water,Idiom
50,改过自新,成语,Turn over a new leaf,Idiom
51,高瞻远瞩,成语,Have foresight,Idiom
52,各有千秋,成语,Each has its own merits,Idiom
53,根深蒂固,成语,Deep-rooted,Idiom
54,勾心斗角,成语,Engage in scheming and plotting,Idiom
55,孤掌难鸣,成语,One hand alone cannot clap,Idiom
56,孤注一掷,成语,Risk everything on a single venture,Idiom
57,寡不敌众,成语,Outnumbered and outmatched,Idiom
58,管中窥豹,成语,Have a limited view of something,Idiom
59,光明正大,成语,Upright and aboveboard,Idiom
60,海底捞针,成语,Like finding a needle in a haystack,Idiom
61,害群之马,成语,A black sheep,Idiom
62,好逸恶劳,成语,Love ease and hate work,Idiom
63,狐假虎威,成语,Use another’s power to bully,Idiom
64,胡作非为,成语,Act wildly and lawlessly,Idiom
65,花言巧语,成语,Deceptive sweet talk,Idiom
66,画龙点睛,成语,Add the finishing touch,Idiom
67,画蛇添足,成语,Ruin something by doing unnecessary additions,Idiom
68,诲人不倦,成语,Teach tirelessly,Idiom
69,疑神疑鬼,成语,Be overly suspicious,Idiom
70,家喻户晓,成语,Be known to every household,Idiom
71,见义勇为,成语,Act bravely for a just cause,Idiom
72,见异思迁,成语,Be fickle and inconstant,Idiom
73,交头接耳,成语,Whisper in each other’s ears,Idiom
74,金科玉律,成语,A golden rule,Idiom
75,近水楼台,成语,Be in a favorable position,Idiom
76,进退维谷,成语,Be in a dilemma,Idiom
77,精打细算,成语,Be meticulous in calculations and budgeting,Idiom
78,精益求精,成语,Strive for perfection,Idiom
79,举足轻重,成语,Play a decisive role,Idiom
80,开源节流,成语,Increase income and reduce expenditure,Idiom
81,口是心非,成语,Say one thing and mean another,Idiom
82,苦口婆心,成语,Advise earnestly and with good intentions,Idiom
83,滥竽充数,成语,Fill a position without real ability,Idiom
84,老马识途,成语,An experienced person knows the way,Idiom
85,力不从心,成语,One’s ability cannot match one’s will,Idiom
86,立竿见影,成语,Produce instant results,Idiom
87,两袖清风,成语,Be uncorrupted and lead a simple life,Idiom
88,了如指掌,成语,Be thoroughly familiar with something,Idiom
89,临渴掘井,成语,Make last-minute preparations,Idiom
90,炉火纯青,成语,Achieve a high degree of proficiency,Idiom
91,络绎不绝,成语,An endless stream,Idiom
92,落花流水,成语,Be completely defeated,Idiom
93,毛遂自荐,成语,Volunteer oneself for a task,Idiom
94,门可罗雀,成语,Be deserted and empty,Idiom
95,名列前茅,成语,Rank among the best,Idiom
96,名落孙山,成语,Fail in an examination,Idiom
97,目空一切,成语,Be supercilious and arrogant,Idiom
98,目瞪口呆,成语,Be dumbfounded,Idiom
99,逆水行舟,成语,Struggle forward against difficulties,Idiom
100,宁死不屈,成语,Rather die than submit,Idiom
101,拍案叫绝,成语,Bang the table in admiration,Idiom
102,蓬头垢面,成语,Be unkempt and dirty,Idiom
103,破釜沉舟,成语,Burn one’s bridges,Idiom
104,欺世盗名,成语,Gain fame through deception,Idiom
105,千钧一发,成语,Be in imminent danger,Idiom
106,千篇一律,成语,All follow the same pattern,Idiom
107,千载难逢,成语,A rare opportunity,Idiom
108,前车之鉴,成语,Lessons from past mistakes,Idiom
109,青红皂白,成语,The rights and wrongs of a matter,Idiom
110,情同手足,成语,Be as close as brothers,Idiom
111,人云亦云,成语,Echo others’ opinions without thinking,Idiom
112,任劳任怨,成语,Bear hardship without complaint,Idiom
113,如火如荼,成语,In full swing,Idiom
114,如释重负,成语,Feel a weight lifted off one’s shoulders,Idiom
115,三思而行,成语,Think thrice before acting,Idiom
116,杀鸡取卵,成语,Kill the goose that lays the golden eggs,Idiom
117,舍己为人,成语,Sacrifice oneself for others,Idiom
118,实事求是,成语,Seek truth from facts,Idiom
119,事半功倍,成语,Achieve twice the result with half the effort,Idiom
120,守望相助,成语,Help and watch out for each other,Idiom
121,熟能生巧,成语,Practice makes perfect,Idiom
122,水到渠成,成语,Success comes naturally when conditions are right,Idiom
123,水落石出,成语,The truth comes to light,Idiom
124,司空见惯,成语,Be a common occurrence,Idiom
125,损人利己,成语,Profit at others’ expense,Idiom
126,泰然自若,成语,Remain calm and unruffled,Idiom
127,贪得无厌,成语,Be insatiably greedy,Idiom
128,螳臂当车,成语,Overestimate oneself and try to stop the inevitable,Idiom
129,天渊之别,成语,A world of difference,Idiom
130,挑拨离间,成语,Sow discord among people,Idiom
131,同甘共苦,成语,Share joys and sorrows together,Idiom
132,同流合污,成语,Go along with bad influences,Idiom
133,同心协力,成语,Work together with one heart and one mind,Idiom
134,徒劳无功,成语,Work in vain,Idiom
135,退避三舍,成语,Give way to avoid conflict,Idiom
136,望尘莫及,成语,Far inferior to someone,Idiom
137,忘恩负义,成语,Be ungrateful,Idiom
138,为非作歹,成语,Commit crimes and do evil,Idiom
139,唯利是图,成语,Be driven only by profit,Idiom
140,未雨绸缪,成语,Plan ahead for contingencies,Idiom
141,温故知新,成语,Gain new insights by reviewing old knowledge,Idiom
142,无微不至,成语,Take care of every detail,Idiom
143,无中生有,成语,Fabricate something out of nothing,Idiom
144,五体投地,成语,Admire someone deeply,Idiom
145,相辅相成,成语,Complement each other,Idiom
146,心不在焉,成语,Be absent-minded,Idiom
147,心直口快,成语,Be straightforward and outspoken,Idiom
148,幸灾乐祸,成语,Take pleasure in others’ misfortune,Idiom
149,袖手旁观,成语,Stand by and do nothing,Idiom
150,胸有成竹,成语,Have a well-thought-out plan,Idiom
151,悬崖勒马,成语,Stop before it’s too late,Idiom
152,雪中送炭,成语,Offer timely help,Idiom
153,循循善诱,成语,Teach patiently and systematically,Idiom
154,夜郎自大,成语,Be arrogant and ignorant,Idiom
155,一帆风顺,成语,Have a smooth journey,Idiom
156,一见如故,成语,Feel like old friends upon first meeting,Idiom
157,一鸣惊人,成语,Make a remarkable debut,Idiom
158,一丝不苟,成语,Be meticulous and thorough,Idiom
159,以卵击石,成语,Fight against overwhelming odds,Idiom
160,以身作则,成语,Lead by example,Idiom
161,以牙还牙,成语,An eye for an eye,Idiom
162,因材施教,成语,Teach according to students’ abilities,Idiom
163,饮水思源,成语,Remember one’s roots,Idiom
164,迎刃而解,成语,Solve a problem with ease,Idiom
165,应接不暇,成语,Be overwhelmed with things to handle,Idiom
166,与虎谋皮,成语,Attempt the impossible,Idiom
167,与日俱增,成语,Increase with each passing day,Idiom
168,缘木求鱼,成语,A futile effort,Idiom
169,约法三章,成语,Make a clear agreement or rule,Idiom
170,再接再厉,成语,Keep up the effort,Idiom
171,斩草除根,成语,Eliminate the problem at its root,Idiom
172,张冠李戴,成语,Mistake one thing for another,Idiom
173,朝三暮四,成语,Be fickle and inconsistent,Idiom
174,知己知彼,成语,Know yourself and your enemy,Idiom
175,纸上谈兵,成语,Engage in empty talk without action,Idiom
176,志同道合,成语,Have shared goals and beliefs,Idiom
177,志在四方,成语,Have great ambitions,Idiom
178,置之不理,成语,Ignore completely,Idiom
179,州官放火,成语,Authorities breaking laws while others can’t,Idiom
180,装聋作哑,成语,Pretend to be ignorant,Idiom
181,自暴自弃,成语,Give up on oneself,Idiom
182,自食其果,成语,Suffer the consequences of one’s actions,Idiom
183,自相矛盾,成语,Contradict oneself,Idiom
184,坐井观天,成语,Have a narrow view of the world,Idiom
185,作壁上观,成语,Stand aside and watch without getting involved,Idiom
186,坐享其成,成语,Reap the benefits without working,Idiom
187,坐以待毙,成语,Sit and wait for death,Idiom
188,爱财如命,成语,Be extremely greedy for money,Idiom
189,按图索骥,成语,Search for something based on clues,Idiom
190,百发百中,成语,Be highly accurate and successful,Idiom
191,包罗万象,成语,Be all-encompassing,Idiom
192,背道而驰,成语,Go in completely opposite directions,Idiom
193,不寒而栗,成语,Shiver from fear,Idiom
194,不拘小节,成语,Not bother about trivial matters,Idiom
195,不苟言笑,成语,Be serious and not given to laughing,Idiom
196,不屈不挠,成语,Be unyielding and persistent,Idiom
197,不置可否,成语,Decline to comment,Idiom
198,草菅人命,成语,Treat human life with contempt,Idiom
199,趁火打劫,成语,Exploit a crisis for personal gain,Idiom
200,垂涎三尺,成语,Drool over something,Idiom
201,唇枪舌剑,成语,Engage in a heated verbal battle,Idiom
202,从容不迫,成语,Remain calm and unhurried,Idiom
203,得寸进尺,成语,Be insatiable in one’s demands,Idiom
204,反败为胜,成语,Turn defeat into victory,Idiom
205,纷至沓来,成语,Come in a continuous stream,Idiom
206,凤毛麟角,成语,Be extremely rare and valuable,Idiom
207,高枕无忧,成语,Sleep soundly without worries,Idiom
208,孤立无援,成语,Be isolated and without support,Idiom
209,过河拆桥,成语,Abandon someone after benefiting from them,Idiom
210,过目不忘,成语,Have an exceptional memory,Idiom
211,家徒四壁,成语,Be extremely poor,Idiom
212,开天辟地,成语,Mark a historic beginning,Idiom
213,苦尽甘来,成语,Sweetness comes after hardship,Idiom
214,老生常谈,成语,A cliché or commonly repeated saying,Idiom
215,雷厉风行,成语,Take swift and decisive action,Idiom
216,量力而行,成语,Act within one’s means,Idiom
217,流离失所,成语,Be displaced and homeless,Idiom
218,面面俱到,成语,Take everything into account,Idiom
219,目不暇接,成语,Be dazzled by too many sights,Idiom
220,旗开得胜,成语,Win a victory upon starting,Idiom
221,轻举妄动,成语,Act rashly without thinking,Idiom
222,人杰地灵,成语,A place produces outstanding people,Idiom
223,任重道远,成语,Shoulder a heavy responsibility,Idiom
224,深思熟虑,成语,Think carefully and thoroughly,Idiom
225,同舟共济,成语,Work together through difficulties,Idiom
226,望梅止渴,成语,Comfort oneself with an illusion,Idiom
227,相敬如宾,成语,Respect each other like honored guests,Idiom
228,言而无信,成语,Break one’s promise,Idiom
229,一鼓作气,成语,Press forward without letting up,Idiom
230,一暴十寒,成语,Work hard for a short time but slack off after,Idiom
231,一视同仁,成语,Treat everyone equally,Idiom
232,迎头赶上,成语,Catch up quickly,Idiom
233,有条不紊,成语,Be methodical and orderly,Idiom
234,约定俗成,成语,Become customary by common practice,Idiom
235,争先恐后,成语,Compete to be first, fearing to be last,Idiom
236,众志成城,成语,Unity is strength,Idiom
237,自得其乐,成语,Find joy in oneself,Idiom
238,不二法门,成语,The one and only method,Idiom
239,不胜枚举,成语,Too many to count,Idiom
240,长袖善舞,成语,Master of leveraging connections,Idiom
241,当仁不让,成语,Never shy away from duty,Idiom
242,雕虫小技,成语,A mere parlor trick,Idiom
243,独善其身,成语,Keep one’s own house in order,Idiom
244,发人深省,成语,Provokes deep reflection,Idiom
245,防患未然,成语,Nip problems in the bud,Idiom
246,改邪归正,成语,Turn over a new leaf,Idiom
247,苟且偷安,成语,Settle for transient ease,Idiom
248,孤陋寡闻,成语,Uncultured and uninformed,Idiom
249,沽名钓誉,成语,Chase empty glory,Idiom
250,海誓山盟,成语,Everlasting vows,Idiom
251,含沙射影,成语,Hurl subtle accusations,Idiom
252,汗牛充栋,成语,An overwhelming abundance,Idiom
253,假公济私,成语,Exploit public power for personal gain,Idiom
254,见仁见智,成语,Different strokes for different folks,Idiom
255,捷足先登,成语,First come, first served,Idiom
256,金玉良言,成语,Words of wisdom,Idiom
257,惊弓之鸟,成语,A perpetually skittish soul,Idiom
258,井井有条,成语,Neat and orderly,Idiom
259,咎由自取,成语,You reap what you sow,Idiom
260,居安思危,成语,Be vigilant in times of ease,Idiom
261,鞠躬尽瘁,成语,Give one's all,Idiom
262,开门见山,成语,Straight to the point,Idiom
263,慷慨解囊,成语,Open-handed generosity,Idiom
264,口若悬河,成语,Eloquent and flowing,Idiom
265,苦心孤诣,成语,A labor of meticulous effort,Idiom
266,狼狈为奸,成语,Colluding in mischief,Idiom
267,礼尚往来,成语,Reciprocity is the best policy,Idiom
268,理直气壮,成语,Speak with righteous confidence,Idiom
269,励精图治,成语,Work tirelessly to improve,Idiom
270,良药苦口,成语,Tough love is often best,Idiom
271,良莠不齐,成语,A mixed bag,Idiom
272,路不拾遗,成语,Honesty prevails,Idiom
273,洛阳纸贵,成语,A literary sensation,Idiom
274,每况愈下,成语,Worsening by the day,Idiom
275,面目全非,成语,Changed beyond recognition,Idiom
276,墨守成规,成语,Stuck in one's ways,Idiom
277,潜移默化,成语,Slowly but surely transformed,Idiom
278,巧夺天工,成语,Masterfully crafted,Idiom
279,人浮于事,成语,Overstaffed and inefficient,Idiom
280,人尽其才,成语,Every talent is put to good use,Idiom
281,入木三分,成语,Deeply incisive,Idiom
282,伤天害理,成语,Atrocious and unforgivable,Idiom
283,视死如归,成语,Fearless in the face of death,Idiom
284,守株待兔,成语,Waiting for luck to strike,Idiom
285,司共监管,成语,Under strict regulatory oversight,Idiom
